design,N,c.bm,carryover_t1half,power
CO,35,0,0,0.06
CO,35,0,0.1,0
CO,35,0,0.2,0.06
CO,35,0.3,0,0.62
CO,35,0.3,0.1,0.42
CO,35,0.3,0.2,0.54
CO,35,0.6,0,0.86
CO,35,0.6,0.1,0.96
CO,35,0.6,0.2,0.96
CO,70,0,0,0.06
CO,70,0,0.1,0.04
CO,70,0,0.2,0.1
CO,70,0.3,0,0.82
CO,70,0.3,0.1,0.72
CO,70,0.3,0.2,0.84
CO,70,0.6,0,1
CO,70,0.6,0.1,1
CO,70,0.6,0.2,1
N-of-1,35,0,0,0.08
N-of-1,35,0,0.1,0.06
N-of-1,35,0,0.2,0.02
N-of-1,35,0.3,0,0.24
N-of-1,35,0.3,0.1,0.3
N-of-1,35,0.3,0.2,0.4
N-of-1,35,0.6,0,0.78
N-of-1,35,0.6,0.1,0.86
N-of-1,35,0.6,0.2,0.84
N-of-1,70,0,0,0
N-of-1,70,0,0.1,0.04
N-of-1,70,0,0.2,0.06
N-of-1,70,0.3,0,0.62
N-of-1,70,0.3,0.1,0.64
N-of-1,70,0.3,0.2,0.68
N-of-1,70,0.6,0,0.96
N-of-1,70,0.6,0.1,0.98
N-of-1,70,0.6,0.2,0.98
