design,N,c.bm,carryover_t1half,power_pct,ci_lower,ci_upper,n
CO,35,0,0,6,0.02061459636463048,0.16217343370877002,50
CO,35,0,0.1,0,0,0.07135003417431873,50
CO,35,0,0.2,6,0.02061459636463048,0.16217343370877002,50
CO,35,0.3,0,62,0.48150195022393577,0.7413740415742277,50
CO,35,0.3,0.1,42,0.2937479723456693,0.5576680331222217,50
CO,35,0.3,0.2,54,0.40398634328388083,0.6703056539821737,50
CO,35,0.6,0,86,0.7381354280147191,0.9304925473797714,50
CO,35,0.6,0.1,96,0.8653966212204532,0.9889613473391734,50
CO,35,0.6,0.2,96,0.8653966212204532,0.9889613473391734,50
CO,70,0,0,6,0.02061459636463048,0.16217343370877002,50
CO,70,0,0.1,4,0.011038652660826579,0.13460337877954667,50
CO,70,0,0.2,10,0.0434751239915711,0.21360490334788393,50
CO,70,0.3,0,82,0.6920368054529739,0.902299172675462,50
CO,70,0.3,0.1,72,0.5833461285401033,0.8252598564231964,50
CO,70,0.3,0.2,84,0.7148551903823401,0.9166267863791231,50
CO,70,0.6,0,100,0.9286499658256813,1,50
CO,70,0.6,0.1,100,0.9286499658256813,1,50
CO,70,0.6,0.2,100,0.9286499658256813,1,50
N-of-1,35,0,0,8,0.031549003255790686,0.18838502545063707,50
N-of-1,35,0,0.1,6,0.02061459636463048,0.16217343370877002,50
N-of-1,35,0,0.2,2,0.0035391680889764613,0.10495686471836953,50
N-of-1,35,0.3,0,24,0.14297252401872207,0.37412949375192367,50
N-of-1,35,0.3,0.1,30,0.1910338908960936,0.4375061227736338,50
N-of-1,35,0.3,0.2,40,0.27608189786245746,0.5381881089724063,50
N-of-1,35,0.6,0,78,0.6475818431054045,0.8724621377569771,50
N-of-1,35,0.6,0.1,86,0.7381354280147191,0.9304925473797714,50
N-of-1,35,0.6,0.2,84,0.7148551903823401,0.9166267863791231,50
N-of-1,70,0,0,0,0,0.07135003417431873,50
N-of-1,70,0,0.1,4,0.011038652660826579,0.13460337877954667,50
N-of-1,70,0,0.2,6,0.02061459636463048,0.16217343370877002,50
N-of-1,70,0.3,0,62,0.48150195022393577,0.7413740415742277,50
N-of-1,70,0.3,0.1,64,0.5014076201030194,0.7586143703281713,50
N-of-1,70,0.3,0.2,68,0.5418944286372392,0.792419559060006,50
N-of-1,70,0.6,0,96,0.8653966212204532,0.9889613473391734,50
N-of-1,70,0.6,0.1,98,0.8950431352816304,0.9964608319110234,50
N-of-1,70,0.6,0.2,98,0.8950431352816304,0.9964608319110234,50
OL,35,0,0,2,0.0035391680889764613,0.10495686471836953,50
OL,35,0,0.1,2,0.0035391680889764613,0.10495686471836953,50
OL,35,0,0.2,0,0,0.07135003417431873,50
OL,35,0.3,0,8,0.031549003255790686,0.18838502545063707,50
OL,35,0.3,0.1,6,0.02061459636463048,0.16217343370877002,50
OL,35,0.3,0.2,8,0.031549003255790686,0.18838502545063707,50
OL,35,0.6,0,22,0.1275378622430229,0.35241815689459555,50
OL,35,0.6,0.1,20,0.11243629945973886,0.3303737210448524,50
OL,35,0.6,0.2,12,0.056175237106246466,0.23805078886623582,50
OL,70,0,0,6,0.02061459636463048,0.16217343370877002,50
OL,70,0,0.1,2,0.0035391680889764613,0.10495686471836953,50
OL,70,0,0.2,2,0.0035391680889764613,0.10495686471836953,50
OL,70,0.3,0,16,0.08337321362087696,0.2851448096176598,50
OL,70,0.3,0.1,12,0.056175237106246466,0.23805078886623582,50
OL,70,0.3,0.2,16,0.08337321362087696,0.2851448096176598,50
OL,70,0.6,0,48,0.347969123955057,0.6148848774119157,50
OL,70,0.6,0.1,58,0.4423319668777783,0.7062520276543306,50
OL,70,0.6,0.2,46,0.3296943460178264,0.5960136567161192,50
OL+BDC,35,0,0,6,0.02061459636463048,0.16217343370877002,50
OL+BDC,35,0,0.1,8,0.031549003255790686,0.18838502545063707,50
OL+BDC,35,0,0.2,4,0.011038652660826579,0.13460337877954667,50
OL+BDC,35,0.3,0,28,0.17474014357680362,0.4166538714598967,50
OL+BDC,35,0.3,0.1,36,0.24138562967182875,0.4985923798969805,50
OL+BDC,35,0.3,0.2,16,0.08337321362087696,0.2851448096176598,50
OL+BDC,35,0.6,0,78,0.6475818431054045,0.8724621377569771,50
OL+BDC,35,0.6,0.1,66,0.5215356854148286,0.7756323036493894,50
OL+BDC,35,0.6,0.2,74,0.6044657801100008,0.8412862034863261,50
OL+BDC,70,0,0,6,0.02061459636463048,0.16217343370877002,50
OL+BDC,70,0,0.1,2,0.0035391680889764613,0.10495686471836953,50
OL+BDC,70,0,0.2,4,0.011038652660826579,0.13460337877954667,50
OL+BDC,70,0.3,0,54,0.40398634328388083,0.6703056539821737,50
OL+BDC,70,0.3,0.1,58,0.4423319668777783,0.7062520276543306,50
OL+BDC,70,0.3,0.2,50,0.36644286412332855,0.6335571358766715,50
OL+BDC,70,0.6,0,98,0.8950431352816304,0.9964608319110234,50
OL+BDC,70,0.6,0.1,100,0.9286499658256813,1,50
OL+BDC,70,0.6,0.2,94,0.8378265662912299,0.9793854036353695,50
