design,N,c.bm,carryover_t1half,power_sf1
CO,35,0.3,0,0.16666666666666666
CO,35,0.3,0.1,0.16666666666666666
CO,35,0.3,0.2,0.26666666666666666
CO,35,0.6,0,0.16666666666666666
CO,35,0.6,0.1,0.2
CO,35,0.6,0.2,0.1
CO,70,0.3,0,0.2
CO,70,0.3,0.1,0.23333333333333334
CO,70,0.3,0.2,0.16666666666666666
CO,70,0.6,0,0.1
CO,70,0.6,0.1,0.2
CO,70,0.6,0.2,0.2
N_of_1,35,0.3,0,0.16666666666666666
N_of_1,35,0.3,0.1,0.23333333333333334
N_of_1,35,0.3,0.2,0.3333333333333333
N_of_1,35,0.6,0,0.13333333333333333
N_of_1,35,0.6,0.1,0.16666666666666666
N_of_1,35,0.6,0.2,0.13333333333333333
N_of_1,70,0.3,0,0.13333333333333333
N_of_1,70,0.3,0.1,0.16666666666666666
N_of_1,70,0.3,0.2,0.23333333333333334
N_of_1,70,0.6,0,0.3333333333333333
N_of_1,70,0.6,0.1,0.1
N_of_1,70,0.6,0.2,0.1
